Game Name,Game Name, Platform,Sales in Europe(millions),Sales in Japan(millions),Sales in North America(millions),Sales in the rest world(millions),Total Worldwide Sales(millions)
Monster Hunter Freedom Unite,Game: Monster Hunter Freedom Unite, Platform: PSP,0.57,4.13,0.47,0.34,5.5
Super Mario Advance,Game: Super Mario Advance, Platform: GBA,1.24,0.91,3.14,0.2,5.49
Mario Kart: Super Circuit,Game: Mario Kart: Super Circuit, Platform: GBA,1.64,0.99,2.62,0.23,5.47
Super Mario World,Game: Super Mario World, Platform: GBA,1.11,0.95,3.21,0.2,5.46
Pokemon Stadium,Game: Pokemon Stadium, Platform: N64,1.24,0.94,3.18,0.09,5.45
Call of Duty: World at War,Game: Call of Duty: World at War, Platform: PS3,1.87,0,2.72,0.84,5.43
Crash Bandicoot: The Wrath of Cortex,Game: Crash Bandicoot: The Wrath of Cortex, Platform: PS2,2.29,0.24,2.07,0.82,5.42
Minecraft,Game: Minecraft, Platform: PS3,2.51,0,1.97,0.94,5.42
Final Fantasy XIII,Game: Final Fantasy XIII, Platform: PS3,1.24,1.87,1.74,0.52,5.36
Dr. Mario,Game: Dr. Mario, Platform: GB,0.96,2,2.18,0.2,5.34
Pokemon Pinball,Game: Pokemon Pinball, Platform: GB,1.12,1.01,3.02,0.16,5.31
Assassin's Creed III,Game: Assassin's Creed III, Platform: X360,1.71,0.03,3.13,0.44,5.3
Final Fantasy IX,Game: Final Fantasy IX, Platform: PS,0.77,2.78,1.62,0.14,5.3
Final Fantasy X-2,Game: Final Fantasy X-2, Platform: PS2,1.08,2.11,1.92,0.17,5.29
Donkey Kong 64,Game: Donkey Kong 64, Platform: N64,0.79,1.09,3.33,0.06,5.27
Assassin's Creed II,Game: Assassin's Creed II, Platform: X360,1.56,0.08,3.1,0.51,5.27
Professor Layton and the Curious Village,Game: Professor Layton and the Curious Village, Platform: DS,2.48,1.03,1.22,0.52,5.26
Tomb Raider II,Game: Tomb Raider II, Platform: PS,2.46,0.2,2.3,0.28,5.24
Madden NFL 2004,Game: Madden NFL 2004, Platform: PS2,0.26,0.01,4.26,0.71,5.23
Dragon Quest VIII: Journey of the Cursed King,Game: Dragon Quest VIII: Journey of the Cursed King, Platform: PS2,0.75,3.61,0.65,0.2,5.21
Diablo III,Game: Diablo III, Platform: PC,2.15,0,2.43,0.62,5.2
Super Mario Bros. 3,Game: Super Mario Bros. 3, Platform: GBA,1.25,0.83,2.93,0.2,5.2
New Super Mario Bros. U,Game: New Super Mario Bros. U, Platform: WiiU,1.3,1.27,2.32,0.31,5.19
Super Mario Land 3: Wario Land,Game: Super Mario Land 3: Wario Land, Platform: GB,0.98,1.57,2.49,0.15,5.19
FIFA Soccer 13,Game: FIFA Soccer 13, Platform: X360,3.48,0.03,1.08,0.58,5.18
The Legend of Zelda: Phantom Hourglass,Game: The Legend of Zelda: Phantom Hourglass, Platform: DS,1.83,0.95,1.9,0.49,5.17
Donkey Kong Country 2: Diddy's Kong Quest,Game: Donkey Kong Country 2: Diddy's Kong Quest, Platform: SNES,0.74,2.2,2.1,0.11,5.15
Tomodachi Life,Game: Tomodachi Life, Platform: 3DS,2.02,1.89,0.96,0.28,5.15
Mario & Sonic at the Olympic Games,Game: Mario & Sonic at the Olympic Games, Platform: DS,2.48,0.44,1.64,0.58,5.14
Medal of Honor: Rising Sun,Game: Medal of Honor: Rising Sun, Platform: PS2,2.23,0.13,1.98,0.8,5.13
Kirby's Dream Land,Game: Kirby's Dream Land, Platform: GB,0.61,1.7,2.71,0.11,5.13
Fable III,Game: Fable III, Platform: X360,1.11,0.05,3.59,0.38,5.13
Call of Duty: Advanced Warfare,Game: Call of Duty: Advanced Warfare, Platform: XOne,1.53,0.01,3.21,0.38,5.13
Microsoft Flight Simulator,Game: Microsoft Flight Simulator, Platform: PC,1.69,0,3.22,0.2,5.12
Guitar Hero II,Game: Guitar Hero II, Platform: PS2,0.63,0,3.81,0.68,5.12
